Rank,NAME,Av_ESC+iPS,Av_DIFF,C_p-value Wilcox,ESCvsDIFF,DIFFvsESC,ESC_H1-a,ESC_H1-b,ESC_H9-a,ESC_H9-b,ESC_hES2,iPS-a,iPS-b,CL_Fibroblast,CL_Gm12878,CL_HNEK,CL_HUVEC,CL_MCF7,CL_293T,CL_HeLa,Adipose,Adrenal,Brain-a,Cortex,Cerebellum,Breast,Colon,Heart-a,Heart-b,Muscle,Kidney-a,Kidney-b,Liver-a,Liver-b,Lung,LymphNode,Ovary,Prostate,Testis-a,Testis-b,Thyroid,WBC
76,CPSF7,32.94,24.48,1.000,1.35,0.74,29.08,37.4,43.65,34.27,47.68,10.36,28.12,14.99,29.83,17.53,24.56,39.22,57.39,50.69,14.99,29.31,24.43,26.03,36.29,13.88,10.86,10.01,13.8,15.84,17.82,18.12,7.88,11.46,17.72,33.58,29.25,26.32,26.1,37.15,26.8,27.96
76,ESRP2,11.25,6.51,1.000,1.73,0.58,11.82,9.76,8.45,25.68,9.92,2.12,11.03,0.41,0.07,20.32,0.44,32.78,9.93,12.11,0.3,1.26,0.27,0.22,0.76,1.8,1.4,0.07,0.22,0.2,6.81,11.95,16.8,15.76,5.56,0.88,1.22,4.01,5.53,20.24,17.36,0.18
79,RAVER1,21.67,10.61,1.000,2.04,0.49,24.64,16.22,28.18,59.43,12.34,0.83,10.06,9.95,27.7,2.12,4.23,6.7,43.6,19.56,7.34,13.83,2.75,7.68,11.01,5.1,5.44,2.59,7.22,2.9,7.78,13.62,1.96,3.23,8.01,15.55,16.17,9.49,8.38,16.56,9.74,17.59
79,RBM17,41.46,30.51,1.000,1.36,0.74,54.02,31,49.17,28.82,50.73,54.71,21.8,25.21,42.02,11.43,4.16,56.72,61.66,40.61,27.88,47.98,33.04,20.23,25.61,28.47,35.05,16.65,18.97,24.34,25.88,15.44,9.09,11.72,47.1,43.92,38.6,30.15,39.56,39.16,39.15,24.96
79,SRPK2,20.56,18.94,1.000,1.09,0.92,25.03,21.04,17.81,13.65,24.11,24.27,17.98,14.67,15.94,17.14,4.04,26.98,17.31,14.24,9.82,11.98,64.38,37.02,27.48,13,11.52,7.46,3.21,4.89,10.38,3.63,5.24,2.55,12.07,12.49,15.95,11.36,51.15,76.56,13.98,32.78
80,SRSF5,104.49,67.11,1.000,1.56,0.64,123.28,77.81,96.25,46.68,122.84,212.86,51.74,54.37,127.26,60.31,20.98,212,122.12,81.21,50.97,137.99,113.53,65.43,55.09,66.92,13.31,30.55,35.93,8.03,43.63,51.45,31.94,35.09,46.43,50.27,97.79,45.8,33.7,49.93,152.14,52.1
83,KHDRBS3,12.76,16.13,1.000,0.79,1.26,17,11.11,17.31,10.68,16.86,6.77,9.62,6.37,0.42,2.24,9.26,1.4,5.95,4.02,6.13,6.4,31.7,34.61,12.27,6.41,13.05,4.35,5.15,16.05,16.61,9.12,6.39,2.94,6.15,9.84,6.16,12.63,77.32,144.44,10.41,0
83,MEX3D,17.08,8.04,1.000,2.13,0.47,10.05,4.71,28.08,51.61,16.48,1.17,7.45,8.17,0.68,3.94,36.8,2.14,7.31,10.75,6.47,1.47,2.27,9.43,7.44,5.1,3.88,1.35,4.79,0.83,2.15,3.82,1.47,4,6.48,3.95,4.47,6.7,10.37,72.36,3.38,1.06
83,SFRS2IP,24.42,15.82,1.000,1.54,0.65,23.58,19.19,19.55,11.71,26.16,51.54,19.19,17.19,28.16,21.23,10.47,34.93,25.44,30.78,20.54,16.81,8.64,4.01,4.87,14.73,13.64,12.78,5.49,10.52,15.26,5.03,6.66,3.41,14.61,18.43,20.12,13.46,12.16,7.99,19.29,42.22
85,MSI2,21.07,13.67,1.000,1.54,0.65,28.03,17.29,30.44,22.54,28.05,10.71,10.46,5.37,40.72,11.24,10.38,36.02,31.4,21.96,3.98,6.09,17.78,11.8,24.55,4.77,4.03,17.24,13.36,13.63,13.24,14.5,1.97,2.01,5.79,10.45,14.65,7,9.5,12.17,23.67,7.02
85,SF3B2,119.89,75.14,1.000,1.60,0.63,240.07,84.56,109.25,117.18,164.36,63.19,60.59,67.99,210.26,40.64,40.05,106.35,157.35,126.82,63.72,91.55,71.03,62.41,79.36,47.57,43.82,20.53,32.19,42.07,52.75,60.03,22.57,26.59,53.96,66.73,89.35,63.96,122.83,158.76,85.14,72.66
91,BCAS2,55.45,42.78,1.000,1.30,0.77,103.57,36.51,46.34,16.19,64.05,82.64,38.86,26.42,58.13,29.01,9.93,361.85,77.14,48.6,20.2,35.88,62.96,22.43,18.94,34.72,27.92,16.73,10,10.4,29.37,12.24,17.96,10.96,21.41,19.09,49.98,34.95,46.03,27.12,77.24,22.91
91,CELF3,0.40,3.93,1.000,0.10,9.86,0.44,0.42,0.88,0.36,0.51,0.02,0.16,0.04,0,0,0,0.06,0.4,0.02,0,0.02,6.31,40.29,63.1,0.01,0.36,0.03,0.02,0,0.03,0.42,0,0,0.02,0.06,0.05,0.15,0.33,2.22,0.01,0.06
91,HNRNPUL1,95.68,62.04,1.000,1.54,0.65,77.86,64.1,138.92,110.65,149.84,53.04,75.37,41.88,69.63,17.08,31.34,58.47,143.03,143.49,84.48,82.32,36.73,40.91,70.57,54.67,64.91,30.4,45.71,50.18,31.39,41.57,18.68,18.05,51.96,59.36,80.74,68.06,84.83,115.52,80.21,83.04
91,LSM1,29.53,20.29,1.000,1.46,0.69,41,26.44,23.28,17.82,47.92,17.33,32.94,36.37,31.15,13.99,8.14,13.66,31.13,35.44,11.26,25.49,17.67,13.01,13.18,18.61,20.77,20.58,16.01,6.26,28.26,18.36,17.22,11.4,15.72,30.3,19.09,24.88,33.39,14.83,17.69,24.56
91,LSM4,99.42,51.56,1.000,1.93,0.52,123.75,66.26,143.46,204.17,99.56,17.19,41.52,42.67,55.24,94.5,54.45,50.53,134.65,202.5,22.78,43.94,22.12,55.87,50.67,23.22,26.15,20.44,39.43,25.82,34.61,91.26,22.64,31.59,33.79,37.44,29.9,33.85,52.96,91.92,34.93,35.29
91,SMNDC1,31.84,18.11,1.000,1.76,0.57,28.02,32.31,20.47,11.11,56.46,50.91,23.61,15.51,19.15,12.41,5.03,26.62,34.35,25.07,19.93,21.41,12.37,5.07,6.6,17.69,25.62,11.45,3.94,31.19,20.93,5.07,7.88,2.36,31.33,28.04,24.95,21.93,29.25,8.05,19.44,32.67
93,RBM47,15.40,12.36,1.000,1.25,0.80,12.73,20.97,10.65,25.73,9.47,13.36,14.91,1.21,7.95,3.98,0.03,11.75,1.86,4.85,5.47,10.8,1.33,0.25,0.06,12.21,14.37,1.28,0.68,0.51,79.29,27.44,14.52,7.95,16.44,8.81,8.27,11.66,12.31,4.01,58.9,30.11
93,SMU1,17.96,12.35,1.000,1.45,0.69,11.11,17.37,13.42,11.24,27.26,21.88,23.44,10.25,11.96,13,5.93,13.46,23.47,19.29,13.01,17.37,17,9.25,10.81,13.68,10.3,6.61,4.33,9.94,11.5,5.42,5.29,3.56,10.93,11.96,22.17,13.36,17.7,9.11,16.25,21.24
97,LSM5,18.86,12.57,1.000,1.50,0.67,16.53,27.65,10.38,9.29,19.88,25.11,23.17,9.87,13.91,15.39,3.81,67.75,26.74,31.69,6.84,17.75,10.66,2.35,1.44,11.76,11.95,9.41,2.41,5.27,12.15,2.6,9.38,4.12,7.12,13.97,12.35,12.41,13.03,1.23,16.35,10.96
97,RBM39,107.58,66.18,1.000,1.63,0.62,147.56,92.87,75.23,42.67,153.4,168.61,72.69,66.22,162.06,25.98,15.43,97.24,118.88,73.7,33.93,96.52,45.96,38.29,40.19,51.75,82.41,29.51,29.7,23.38,86.76,35.19,28.47,31.13,89.68,132.29,103.47,100.65,69.03,36.94,110.81,63.59
97,SF3B4,46.79,26.44,1.000,1.77,0.57,39.07,57.72,42.32,60.17,55.5,9.32,63.41,30.44,27.84,19.54,43.31,75.72,59.12,57.97,16.5,28.23,10.29,15.66,21.01,15.56,11.45,7.74,12.53,9.34,17.85,18.42,7.97,11.03,16.79,16.71,35.81,21.31,39.25,63.83,20.46,34.98
97,SNRPB,185.37,87.58,1.000,2.12,0.47,430.04,123.27,214.35,280.39,126.75,2.68,120.09,57.94,270.12,154.15,227.48,91.89,448.54,193.63,57.97,121.15,38.45,30.19,58.17,39.31,45.39,17.4,37.45,27.51,34.73,56.88,19.85,31.22,69.41,47.18,57.82,31.31,78.38,64.84,69.1,62.38
99,PRPF8,93.89,62.20,1.000,1.51,0.66,125.39,115.89,117.65,137.09,61.42,47.62,52.17,30.58,136.7,49.63,89.16,120.15,195.46,119.5,43.98,44.02,33.25,50.31,101.19,25.97,32.67,26.48,34.21,78.89,29.98,34.53,15.7,16.78,37.97,50.51,69.11,52.46,55.15,111.4,49.04,69.08
99,QKI,23.97,18.09,1.000,1.33,0.75,17.71,25.12,26.48,13.98,35.3,22.04,27.17,11.3,6.02,9.2,15.95,19.7,16.66,11.36,21.87,17.28,52.68,20.57,7.1,26.33,16.58,44.38,14.02,45.17,13.79,2.75,7.23,2.68,17.87,18.12,17.71,16.98,20.79,9.55,19.55,21.46
101,MAGOH,50.35,33.81,1.000,1.49,0.67,82.21,43.43,67.7,36.97,59.15,34.21,28.8,26.06,56.22,34.39,8.65,53.33,110.86,73.15,25.72,60.84,24.35,13.86,13.47,24.03,28.7,14.98,14.32,9.82,23.87,22.69,19.38,19.62,21.02,30.07,43.78,35.48,44.92,26.79,62.13,37.93
101,SNRPC,114.70,62.09,1.000,1.85,0.54,86.46,182.57,111.98,125.66,143.95,24.16,128.12,69.91,78.51,104.7,174.52,121.54,179.7,122.71,23.86,53.99,24.28,32.64,30.26,27.53,26.35,51.35,67.51,38.29,32.11,41.57,28.32,33.53,26.88,44.14,33.26,45.68,73.73,129.82,44.81,39.1
103,PRPF38B,63.71,21.04,1.000,3.03,0.33,48.84,22.74,29.89,19.27,42.34,263.22,19.68,18.9,36.08,13.13,6.44,44.9,67.64,38.06,14.32,31.86,13.59,8.74,23.75,13.44,29.28,6.96,8.8,12.68,18.2,6.77,4.46,5.15,20.61,37.83,22.44,22.6,25.11,14.61,22.43,21.32
103,RBM19,12.77,7.35,1.000,1.74,0.58,24.06,10.41,12.11,16.28,11.65,2.21,12.67,6.17,18.9,7.22,6.06,6.99,24.68,18.01,5.47,8.85,3.6,8.69,7.29,4.33,4.95,3.09,5.04,7.39,4.65,6.72,2.07,2.32,3.83,6.87,5.76,5.32,5.72,12.04,8.12,2.95
105,FUBP3,31.70,23.27,1.000,1.36,0.73,45.38,28.64,38.77,33.04,33.59,20.46,21.99,20,16.96,20.59,11.19,52.44,52.76,73.1,23.27,31.53,31.59,15.83,15.11,22.46,19.32,10.26,9.74,4.41,20.13,12.2,15.94,13.79,14.03,15.12,26.56,23.3,23.97,12.35,50.86,16.12
105,RBM7,13.59,8.45,1.000,1.61,0.62,6.61,19.55,13.05,7.04,17.6,15.94,15.35,9.97,4.1,7.84,4.48,3.88,7.73,5.69,11.4,11.18,5.54,2.31,2.34,10.92,13.43,5.3,2.15,5.44,11.18,2.29,5.23,2.36,16.83,13.13,19.8,13.78,15.78,7.87,11.16,11.83
108,HNRPLL,17.13,10.91,1.000,1.57,0.64,15.37,24.11,16.98,12.77,23.76,10.24,16.71,11.42,6.55,11.73,6.7,17.79,10.77,10.59,9.27,8.58,13.65,6.48,11.12,10.51,13.91,5.63,2.86,6.01,9.63,3.49,3.23,1.42,16.48,14.92,14.83,17.81,26.29,17.55,17.54,9.59
108,KHSRP,94.22,40.56,1.000,2.32,0.43,134.79,67.59,154.82,139.74,100.16,8.92,53.54,34.75,76.15,16.5,21.9,14.39,220.28,70.93,33.03,30.74,24.33,32.19,71.45,20.38,24.17,10.69,20.36,31.44,16.65,25.04,11.62,14.91,22.6,30.62,44.74,32.28,52.61,108,37.44,26.03
108,SNRNP200,82.97,42.88,1.000,1.93,0.52,113.79,94.71,110.55,121,62.37,20.07,58.33,21.53,95.28,37.32,50.59,126.32,124.92,104.97,27.69,40.81,20.97,29.14,54.29,20.19,18.59,15.66,22.1,35.24,23.03,26.14,11.15,13.8,18.73,34.84,48.35,34.5,38.94,67.74,38.6,42.18
111,CSTF2T,16.30,10.40,1.000,1.57,0.64,14.45,15.53,19.46,16.36,24.36,6.78,17.13,6.71,9.44,5.65,2.62,7.27,18.5,21.88,9.27,16.27,12.3,12.44,8.85,10.8,6.6,9.59,7.34,7.39,12.6,5.19,4.94,3.46,6.78,12.93,24.78,9.08,11.48,7.91,11.94,17.61
111,HNRNPA1L2,131.21,62.15,1.000,2.11,0.47,110.41,87.72,301.94,189.44,68.04,126.13,34.8,26.63,58.88,31.71,16.8,70.8,132.74,88.18,123.6,179.83,68.74,29.88,38.65,63.26,92.79,9.35,31.25,15.2,31.37,40.98,8.94,15.63,25.7,28.09,235.57,41.45,73.03,57.37,113.21,52.59
111,TIAL1,43.69,29.98,1.000,1.46,0.69,43.64,51.1,41.21,24.4,52.64,51.46,41.36,33.5,66.55,34.89,18.26,59.44,42.88,46.96,27.83,34.59,28.87,17.15,24.27,26.98,26.47,18.52,9.6,30.9,25.94,9.6,13.77,10.63,27.01,53.26,36.65,25.71,27.36,21.11,37.65,33.06
112,PRPF3,28.05,20.90,1.000,1.34,0.75,37.07,23.2,30.65,19.55,33.44,33.56,18.87,18.5,33.27,16.35,9.31,109.07,49.11,33.31,10.92,22.99,8.93,12.19,17.32,13.28,12.78,5.49,8.97,7.58,13.75,10.09,4.91,7.42,15.88,23.46,30.7,21.57,25.67,24.79,26.15,12.36
113,ROD1,34.44,16.76,1.000,2.06,0.49,12.87,40.73,22.16,15.91,50.65,64.02,34.73,9.46,11.3,24.69,11.02,63.05,16.6,25.86,24.56,21.91,5.44,1.82,1.58,13.7,13.6,4.58,1.81,4.2,24.71,4.21,5.22,1.53,29.15,27.44,13.13,14.48,18.34,6.2,11.55,74.85
115,LSM3,24.34,13.50,1.000,1.80,0.55,36.83,23.45,17.22,7.34,33.03,32.38,20.1,11.13,25.96,12,2.18,32.66,29.35,21.95,8.41,19.43,14.39,5.22,4.72,13.74,13.76,10.6,4.79,7.39,14.78,9.49,7.42,6.27,9.97,12.6,11.79,15.37,27.72,11.31,17.02,10.18
115,RBPMS,88.96,42.49,1.000,2.09,0.48,74.02,92.53,94.84,143.98,134.21,33.96,49.18,108.35,0.13,7.25,12.35,27.2,3.56,11.33,108.31,44.96,3.45,2.27,2,47.86,80.78,48.23,68.09,10.59,53.33,70.82,25.15,9.12,86.93,62.42,45.52,146.71,54.19,53.69,37.62,0.12
117,ELAVL1,25.29,13.93,1.000,1.82,0.55,33.15,29.54,24.61,27.64,38.02,6.39,17.66,10.53,25.32,14.91,13.81,13.6,32.08,18.34,10.56,12.31,8.65,9.59,14.23,9.36,10.47,8.12,6.85,10.59,11.7,9.07,6.12,11.86,12.79,19.44,16.07,16.09,21.32,27.17,9.38,13.58
117,RBFOX2,33.96,19.92,1.000,1.70,0.59,37.06,33.03,53.34,50.08,21.05,17.11,26.02,32.62,0.19,52.6,82.98,15.04,31.82,31.33,10.63,7.06,13.19,26.82,66.76,7.93,13.44,12.06,15.42,6.75,6.5,7.99,4.29,5.68,9.64,13.23,17.78,18.05,20.71,33.97,13,0.22
120,CELF4,0.73,4.75,1.000,0.15,6.51,0.78,0.8,0.57,0.8,0.56,0.63,0.97,0.13,0.01,0.02,0,0.04,0.51,0.37,0.07,0.42,37.97,44.9,47.23,0.07,0.69,0.08,0.1,0.04,0.36,0.35,0.01,0.04,0.11,0.26,0.54,0.15,1.42,1.68,0.2,0.03
120,SNRPB2,48.37,27.90,1.000,1.73,0.58,42.48,44.58,36.15,19.3,80.09,61.14,54.84,46.38,29.97,26.36,13.35,58.62,54.5,28.29,25.38,49,30.8,8.52,4.98,27.29,35.87,13.77,6.27,15.45,32.79,11.51,13.6,8.42,24.31,32.84,44.17,29.6,43.83,10.4,41.1,41.73
120,SNRPE,99.01,40.33,1.000,2.46,0.41,61.92,62.99,68.34,32.06,269.93,72.56,125.28,19.58,179.17,16.19,4.18,46.56,151.92,76.04,44.37,73.29,39.47,8.92,11.14,42.89,63.67,7.09,9.08,8.29,23.34,11.14,11.97,11.46,12.32,25.13,94.02,22.85,65.88,13.62,56.12,19.83
125,ELAVL3,0.67,10.24,1.000,0.07,15.25,0.68,0.4,1.53,0.76,0.9,0.11,0.32,0.02,0.05,0,0,0.03,0,0,0,0,34.24,74.1,184.69,0.01,0.48,0.09,0.29,0,0.03,0.03,0,0.02,0.1,0.09,0.02,0.26,0.75,1.72,0,0
125,LUC7L3,55.50,23.67,1.000,2.35,0.43,102.56,36.89,39.99,15.48,56.56,104.56,32.49,25.1,74.75,15.59,6.95,45.71,65.41,38.03,11.87,34,17.67,20.89,28.04,23.73,39.4,6.35,10.93,5.52,18.03,10.11,5.17,9.52,16.09,27.39,38.03,19.04,26.15,11.07,28.09,7.67
125,PRPF38A,30.67,17.39,1.000,1.76,0.57,28.18,26.32,30.06,16.96,31.43,55.75,26,8.15,29.16,11.7,5.8,30.49,58.13,45.33,10.35,18.59,12.3,9.07,13.82,11.23,16.44,5.1,4.6,4.43,14.54,8.39,4.26,4.93,10.53,19.98,35.46,17.37,26.53,19.88,22.22,25.53
125,RBM15B,24.72,11.75,1.000,2.10,0.48,26.02,19.85,30.32,49.3,26.67,4.96,15.89,11.74,13.77,9.58,15.72,14.83,27.01,28.8,15.33,16.44,6.15,9.41,11.56,12.26,9.7,4.22,7.07,3.81,6.58,9.08,4.3,5.42,5.62,10.53,12.93,9.33,11.81,21.5,12.02,14.19
125,RBM8A,68.06,46.82,1.000,1.45,0.69,111.17,49.3,86.68,47.72,87.08,51.72,42.77,29.99,81.11,46.33,25.21,219.06,143.52,61.96,42.68,51.36,32.92,25.42,31.84,27.15,29.67,14.43,20.39,53,36.11,28.5,19.81,16.04,31.96,41.45,48.34,29.22,37.86,33.65,48.88,50.01
128,RBM33,11.22,7.49,1.000,1.50,0.67,12.01,8.32,13.94,13.12,12.18,9.93,9.06,3.25,16.55,2.48,5.58,9.61,18.66,9.02,5.16,11.42,7.27,8.81,23.14,5.48,3.41,3.06,4.44,5.96,5.18,5.39,2.36,3,8.2,15.73,4.63,4.67,4.88,8.53,5.6,5.88
128,SFRS8,18.31,11.82,1.000,1.55,0.65,25.73,13.86,19.52,23.83,19.57,15.07,10.6,10.03,17.87,6.21,9.64,15.42,31.43,17.8,10.55,19.17,10.01,19.68,23.05,7.1,7.68,3.6,9.06,9.29,5.7,9.39,2.53,4.06,9.17,12.32,13.06,11.9,9.87,16.69,12.45,7.99
128,SNRPN,3.01,1.66,1.000,1.81,0.55,3.45,1.41,2.15,2.47,5.19,0.99,5.42,3.13,0,0,3.91,0,0,0,0,0,8.63,17.22,2.09,0.08,1.66,5.01,2.02,0,0,0.32,0.16,0,0.49,0,0,0.65,0.61,0.43,1.87,0
133,BCLAF1,58.30,26.16,1.000,2.23,0.45,33.77,49.63,40.09,20.58,49.1,162.03,52.92,21.88,25.42,22.2,7.75,59.65,107.85,43.67,17.44,34.25,40.17,12,14.44,19.17,17.27,14.76,5.37,10.73,24.53,4.73,7.77,3.62,16.96,31.65,44.07,30.11,34.1,9.66,45.98,31.45
133,CSTF2,14.86,8.91,1.000,1.67,0.60,15.32,11.86,23.36,16.45,15.27,5.36,16.39,6.32,12.48,17.28,11.49,26.19,46.82,42.63,2.33,5.11,2.54,5.26,7.91,3.3,2.92,1.68,2.54,0.64,4.65,4.13,2.31,1.87,2.28,4.95,5.13,5.23,9.81,10.99,4.04,5.61
133,ELAVL2,4.95,3.15,1.000,1.57,0.64,5.42,7.27,1.07,2.63,5.98,3.5,8.78,0.21,0.04,1.09,0.03,0.02,3.84,0,0.02,0.08,16.98,11.31,5.2,0.11,0.1,0.01,0.02,0.1,0.14,0.08,0,0.01,0,0.18,0.24,0.25,36.86,14.45,0.04,0
133,MEX3B,5.35,4.45,1.000,1.20,0.83,5.77,3.52,8.62,10.75,3.11,2.2,3.47,4.79,0.09,0.1,11.26,4.67,3.24,1.26,1.06,0.69,1.04,1.86,4.38,1.11,1.65,0.66,1.69,0.31,0.37,0.12,0.1,0.12,0.56,1.52,1.82,1.53,20.2,62.27,0.4,0.31
133,PTBP1,157.91,58.32,1.000,2.71,0.37,147.22,114.08,206.99,318.17,156.2,26.07,136.61,47.38,96.2,58.02,158.34,61.79,266.57,194.54,46.89,68.95,8.77,12,21.32,26.97,26.82,10.4,24.09,11.34,42.26,51.34,22.24,32.52,58.83,61.67,49.79,39.01,39.75,55.81,38.76,59.03
138,LUC7L,42.43,22.54,1.000,1.88,0.53,71.44,29,54.72,49.51,46.71,25.78,19.82,27.55,27.81,13.46,20.59,52.51,40.21,25.1,9.25,22.18,15.86,34.94,45.28,15.56,19.43,4.81,16.91,4.36,21.09,24.05,4.88,9.48,18.69,32.82,25.21,18.84,35.07,42.24,20.13,5.4
138,PRPF4,17.20,12.30,1.000,1.40,0.72,16.69,19.81,19.29,15.63,18.86,15.2,14.94,9.16,17.46,19.45,6.26,36.83,38.51,43.04,9.17,12.25,7.68,6.51,5.94,6.3,6.07,4.79,4.08,6.18,8.36,7.04,5.1,3.96,6.42,9.26,16.64,10.77,11.47,10.13,14.25,13.63
138,RBM15,7.82,4.22,1.000,1.85,0.54,8.14,5.01,12.82,11.83,6.03,6.97,3.92,2.58,13.49,5.94,4.08,7.28,15.88,8.04,2.48,3.64,1.52,1.52,3.72,2.29,1.53,1.86,1.69,3.36,1.85,1.2,1.4,1.17,3.2,4.92,2.81,1.74,5.84,9.63,2.79,4.91
138,RBM34,45.07,18.26,1.000,2.47,0.41,50.1,31.58,21.52,11.46,58.43,101.76,40.65,25.03,50.19,11.92,3.7,18.31,48.97,23.47,13.51,25.15,16.5,7.85,5.22,17.56,17.41,10.38,6.4,14.46,17.62,7.91,9.43,5.25,10.47,18.84,20.39,18.88,37.29,23.72,25.26,18.46
138,SNRNP48,9.42,5.62,1.000,1.68,0.60,6.9,11.62,9.55,4.78,12.27,13.07,7.78,5,3.51,4.24,2.41,8.13,21.65,11.83,3.95,5.4,2.81,1.83,6.01,3.8,6.47,4.96,2.8,8.11,6.16,1.54,3.11,1.73,3.67,11.27,5.24,9.44,3.24,1.2,6.8,6.55
140,HNRNPH3,292.32,91.04,1.000,3.21,0.31,178.51,126.73,280.1,95.59,336.86,899.18,129.28,50.04,70.06,21.59,6.92,137.09,166.29,179.23,56.6,105.32,68.24,60.28,121.17,65.34,190.89,33.51,64,53.43,103.69,53.16,18.58,28.34,99.63,130.23,179.13,134.21,125.03,104.48,144.41,69.36
140,SFRS6,81.69,43.69,1.000,1.87,0.53,81.65,68.24,53.44,47.42,83.5,125.7,111.9,49.42,129.63,54.34,37.11,117.78,108.17,58.81,13,69.11,27.24,23.14,26.78,33.62,10.92,17.54,14.53,6.73,49.1,21.92,31.92,17.96,17.13,50.16,67.35,46.78,35.77,21.51,71.43,37.98
143,HNRNPR,112.93,62.50,1.000,1.81,0.55,134.16,120.06,111.1,74.19,114.38,176.18,60.47,51.61,87.98,67.55,30.15,141.22,199.5,208.43,47.64,85.9,65.53,32.21,43.52,32.36,45.6,25.03,20.18,24.83,41.94,19.99,20.18,10,54.35,58.61,90.16,45.57,64.69,30.61,100.74,66.35
143,RBM6,42.26,23.18,1.000,1.82,0.55,61.59,25.38,38.86,22.99,71.29,39.09,36.6,21.85,59.39,17.87,9.72,50.23,46.08,27.48,13.38,36.54,14.41,18.7,29.87,17.69,10.65,8.26,17.84,7.41,19.41,20.08,5.72,10.25,16.66,40.37,33.77,20,22.69,30.71,32.01,13.09
143,SFRS9,138.66,85.10,1.000,1.63,0.61,115.71,100.07,216.64,182.55,168.06,72.96,114.62,80.26,97.01,93.02,67.94,166.21,259.23,127.75,64.26,92.32,49.14,61.83,70.04,60.01,67.88,16.5,36.9,14.71,85.07,96.83,49.15,58.1,82.48,101.28,85.23,67.46,99.36,139.46,93.17,85.27
146,BUD13,16.48,9.23,1.000,1.79,0.56,27.55,12.34,18.55,11.9,20.68,10.15,14.2,4.82,14.16,7.18,12.21,9.9,15.5,6.67,5.67,12.43,2.43,5.36,9.25,5.79,7.26,2.9,3.45,8.62,5.73,5.06,2.44,3.67,8.26,11.36,13.06,11.44,20.54,31.06,9.27,12.1
146,HNRNPL,265.40,111.80,1.000,2.37,0.42,274.73,207.7,345.11,320.23,382.62,46.89,280.5,99.36,175.02,101.93,117.31,146.24,298.65,210.73,103.85,155.94,73.31,81.14,139.22,74.92,89.12,46.23,57.28,72.93,79.59,86.22,47.18,37.86,163.03,129.97,79,98.26,104.96,146.65,112.77,113.52
146,SNRPD3,73.16,40.30,1.000,1.82,0.55,105.25,73.94,83.61,86.77,55.59,76.37,30.59,42.41,52.92,44.28,47.01,57.18,166.97,95.08,16.36,40.23,25.38,24.48,32.79,18.96,24.96,20.88,25.52,21.2,35.29,37.64,34.77,33.13,27.59,33.99,31.58,36.97,30.27,34.11,38.41,38.25
149,HNRNPH1,331.27,158.38,1.000,2.09,0.48,493.63,210.72,333.23,183.46,243.64,595.78,258.4,83.93,401.36,92.81,61.79,478.51,546.35,332.69,88.97,263.03,103.46,60.2,135.16,139.24,114.11,44.35,67.15,42.71,117.03,63.41,36.58,63.35,136.49,184.16,268.79,132.8,132.18,126.35,185.48,90.49
149,HNRPDL,146.09,64.32,1.000,2.27,0.44,217.42,84.99,111.79,63.78,185.51,272.22,86.89,53.39,89.55,50.01,26.79,97.77,148.7,104.34,48.17,152.44,100.22,54.51,44.99,47.83,31.31,31.37,23.17,35.54,45.71,30.29,24.15,12.37,70.16,47.99,135.36,63.5,77.93,37.4,137.72,42.53
