Rank,NAME,Av_ESC+iPS,Av_DIFF,C_p-value Wilcox,ESCvsDIFF,DIFFvsESC,ESC_H1-a,ESC_H1-b,ESC_H9-a,ESC_H9-b,ESC_hES2,iPS-a,iPS-b,CL_Fibroblast,CL_Gm12878,CL_HNEK,CL_HUVEC,CL_MCF7,CL_293T,CL_HeLa,Adipose,Adrenal,Brain-a,Cortex,Cerebellum,Breast,Colon,Heart-a,Heart-b,Muscle,Kidney-a,Kidney-b,Liver-a,Liver-b,Lung,LymphNode,Ovary,Prostate,Testis-a,Testis-b,Thyroid,WBC
149,PRPF4B,38.27,16.84,1.000,2.27,0.44,55.24,37.41,24.56,16.65,26.24,75.39,32.38,18.04,36.17,16.89,6.23,33.67,49.67,25.57,9.8,18.77,13.02,8.2,10.16,12.12,13.42,9.53,5.51,5.72,18.22,5.42,6.28,3.51,14.15,24.59,25.12,18.24,18.98,7.08,29.38,24.86
151,HNRNPF,143.30,79.08,1.000,1.81,0.55,168.92,150.31,130.09,167.18,196.48,63.89,126.25,55.69,126.66,121.83,73.65,179.05,146.77,170.99,57.97,97.42,31.69,21.11,34.17,39.64,69.35,21.58,30.92,43.41,72.74,43.2,56.39,43.31,102.09,112.53,94.87,70.46,83.17,106.07,63.02,123.52
151,SFRS13B,3.66,1.87,1.000,1.96,0.51,2.95,3.44,3.33,1.82,6.33,5.93,1.8,0.47,0.34,0.38,0.4,0.34,4.23,0.23,0.43,1.17,5.27,2.4,1.41,0.52,0.53,0.21,0.19,0.08,1.37,0.47,0.41,0.18,0.79,0.56,3.27,0.56,13.63,13.42,0.76,0.12
153,GRSF1,25.18,16.01,1.000,1.57,0.64,21.53,24.82,20.05,18.48,35.06,30.39,25.91,19.24,14.71,20.58,5.76,25.73,27.44,28.9,10.49,14.37,28.18,13.59,9.76,17.35,16.28,19.76,7.98,20.11,17.71,8.16,9.98,4.89,9.14,14.62,15.94,17.71,17.85,6.49,24.54,17.07
153,LSM6,57.35,22.13,1.000,2.59,0.39,79.62,31.53,58.95,24.62,88.1,93.39,25.21,12.31,53.27,9.97,4.16,16.95,53.24,29.09,35.1,32.53,13.67,6.06,11.58,28.96,28.92,7.5,9.9,9.45,13.26,11.22,9.61,8.06,24.65,22.52,32.91,23.91,49.84,17.41,21.56,44.07
155,CELF1,30.46,14.52,1.000,2.10,0.48,50.93,33.9,32.79,38.73,18.75,15.66,22.45,11.06,32.84,29.58,23.62,41.61,24.13,33.81,11.09,12.41,7.4,9.51,25.47,9.04,7.6,8.11,6.25,17.55,6.9,6.09,4.3,5.9,8.43,15.56,9.68,8.28,11.91,12.77,8.87,11.24
155,SFRS11,76.72,39.16,1.000,1.96,0.51,93.86,73.09,63.21,33.87,97.4,115.66,59.93,48.96,80.58,48.62,46.94,68.03,128.2,54.76,21.93,53.93,32.83,20.25,28.1,33.09,35.6,14.33,11.55,13.61,38.75,12.64,11.97,12.27,46.27,52.81,40.97,42.14,35.16,23.97,46.45,31
157,HNRNPK,345.34,214.24,1.000,1.61,0.62,409,341.97,369.3,238.6,407.65,330.52,320.31,175.62,304.93,238,143.52,401.65,435.61,393.82,251.48,305.79,222.02,96.66,113.62,212.04,209.9,107.79,79.56,109.67,192.14,98.09,109.73,71.28,253.59,216.47,274.88,202.92,241.93,125.81,296.61,327.87
157,RNPS1,99.01,57.41,1.000,1.72,0.58,85.9,95.49,110.77,134.93,111.05,64.07,90.89,37.59,66.13,56.3,102.48,92.31,137.35,120.22,35.51,58.12,39.11,63.8,80.15,27.47,39.11,24.59,31.57,68.94,34.73,31.19,14.02,13.23,49.5,60.31,52.07,63.16,81.23,90.02,47.28,47.27
160,CWC22,28.12,9.34,1.000,3.01,0.33,36.53,21.6,15.21,8.49,32.51,64.83,17.69,9.65,15.03,3.5,0.59,8.13,20.12,11.12,9.32,16.11,9.59,2.97,3.22,10.4,13.73,5.15,2.24,7.92,8.79,2.41,3.93,2.05,7.43,9.43,18.37,15.78,15.73,3.91,16.73,17.51
160,NAA38,28.20,12.52,1.000,2.25,0.44,19.94,22.51,23.46,14.03,48.36,16.71,52.36,13.92,21.51,17.99,8.69,32.24,28.55,20.54,13.43,22.27,6.01,3.55,4.07,13.38,8.77,7.42,5.09,4.62,11.16,5.61,5.62,3.83,11.95,17.53,13.24,10.39,15.45,7.49,12.15,16.7
160,SNRPA,77.92,28.19,1.000,2.76,0.36,47.91,83.83,91.71,116.2,118.74,18.72,68.31,17.16,38.63,27.52,68.89,40.22,81.9,75.38,25.07,30.71,8.23,16.17,20.58,16.15,24.3,5.25,16.67,19.71,12.83,25.38,6.24,12.08,34.5,34.18,23.54,38.35,22.47,35.93,22.07,17.47
164,EWSR1,190.43,97.60,1.000,1.95,0.51,211.89,129.48,249.03,237.65,199.97,114.17,190.79,86.47,139.91,109.12,171.13,126.65,284.19,201.62,68.23,141.79,76.12,95.17,158.45,55.42,33.43,40.09,79.46,52.11,47.3,83.04,33.19,36.71,43.55,60.37,64.47,64.06,96.22,207.87,101.09,73.31
164,RAVER2,11.47,5.01,1.000,2.29,0.44,6.89,15.36,8.21,6.77,15.99,10.38,16.72,2.74,0.07,5.07,3.18,7.27,17.66,8.94,3.75,4.77,5.01,2.47,6.16,4.38,9,10.72,4.25,3.27,5.17,2.66,0.25,0.19,7.92,3.71,5.67,9.55,4.66,1.68,3.75,1.41
164,SR140,42.76,14.08,1.000,3.04,0.33,32.55,38.3,23.42,12.39,45.54,114.01,33.12,13.46,23.87,14.99,3.26,37.47,67.1,32.72,8.57,16.63,13.57,5.79,5.48,9.71,6.39,6.69,2.68,7.57,11.11,2.72,4.07,2.73,6.26,8.28,22.67,15.97,15.47,6.28,22.69,14.09
164,CELF5,4.06,2.97,0.427,1.37,0.73,4.49,4.45,2.51,9.83,3.36,1.62,2.19,0.13,0,0.01,0,0.2,0.32,0.03,0.02,0,6.93,42.26,29.6,0.11,0.14,0,0,0,0.02,0.04,0.06,0.28,0,0.06,0.95,0.02,1.15,3.64,0.03,0
167,HNRNPA0,100.23,48.63,1.000,2.06,0.49,80.57,79.28,149.89,180.99,81.71,71.99,57.17,43.44,48.05,23.64,37.37,36.11,107.88,98.57,59.06,75.38,40.95,35.02,61.46,45.24,39.46,18.41,31.59,22.06,29.85,29.31,15.51,16.73,67.14,61.77,103.87,47.67,50.84,33.85,75.68,54.31
167,SRRM2,136.89,65.15,1.000,2.10,0.48,167.19,109.7,148.36,175.88,185.84,86.39,84.86,36.17,185.19,25.78,56.1,99.65,179.26,139.43,46.15,62.39,33.14,71.4,112.97,32.02,31.13,25.03,55.67,57.82,31.33,50.24,14.47,21.72,56.19,72.93,81.32,54.68,49.76,114.42,52.11,41.01
167,SRRM4,0.55,1.56,1.000,0.35,2.85,0.5,0.71,0.6,0.83,0.3,0.56,0.33,0.03,0.02,0.01,0.03,0.05,0.02,0.06,0,0.05,7.96,9.95,25.44,0.07,0.05,0.12,0.12,0.01,0.18,0.14,0,0.01,0.01,0.04,0.02,0.06,0.17,0.44,0.05,0.04
169,LSM2,57.13,26.52,1.000,2.15,0.46,74.72,45.59,65.56,74.9,62.42,22.75,54,15.09,71.4,33.14,59.74,33.43,52.5,31.93,16.4,26.25,12.06,20.35,22.84,15.69,21.29,10.7,15.52,21.94,22.28,21.06,9.74,10.67,26.85,38.04,26.48,33.46,26.98,27.87,13.21,32.06
169,SNRNP40,54.90,23.42,1.000,2.34,0.43,62.8,55.88,53.86,53.18,77.95,22.75,57.91,21.48,35.01,33.67,34.79,31.65,91.1,63.77,16.15,25.63,12.4,11.9,14.82,13.17,12.31,7.16,7.67,10.61,17.06,12.09,9.35,5.83,14.05,21.62,31.15,20.19,29.2,27.39,18.62,29.37
171,FUS,365.55,138.66,1.000,2.64,0.38,374.15,195.97,628.86,638.56,316.27,197.22,207.81,111.94,210.29,87.3,112.85,157.8,511.2,410.77,95.71,309.5,125.98,174.41,260.96,58,31.12,28.22,105.09,24.89,65.76,112.82,27.19,38.66,45.27,58.26,203.83,91.74,120.17,188.1,180.22,73.15
171,SF3B1,157.78,77.73,1.000,2.03,0.49,191.7,179.8,115.42,88.34,161.21,222.5,145.47,77.63,192.52,114.92,85.41,254.01,134.18,108.23,47.23,102.03,49.54,39.4,54.07,51.54,50.54,43.17,28.71,38.41,63.29,32.26,27.86,25.11,83.09,119.42,78.57,71.62,63.63,48.4,94.61,74.85
175,HNRNPA3,483.07,180.18,1.000,2.68,0.37,414.39,238.54,625.54,311.32,651.69,913.27,226.75,141.64,195.72,58.43,20.5,344.74,566.02,409.27,193.98,324.27,167.16,79.41,122.08,131.01,208.4,48.14,73.57,62.61,187.13,97.28,60.3,54.42,197.68,144.97,341.47,126.53,270.22,194.56,266.28,137.4
175,MEX3C,33.90,13.76,1.000,2.46,0.41,24.31,40.79,25.84,31.55,50.74,29.74,34.31,11.75,9.56,34.32,13.41,17.23,4.84,13.68,10.69,14.72,7.69,4.74,7.57,12.01,10.89,5.65,3.09,3.69,10.71,2.74,3.46,2.32,14.69,25.84,16.53,10.92,38.04,49.33,9.58,29.37
175,RBM28,21.12,8.78,1.000,2.41,0.42,24.18,18.26,22.68,16.84,22.61,32.91,10.33,9.83,11.07,12.43,3.34,27.57,41.64,24.03,5.66,9.6,4.65,5.71,5.99,6.61,3.79,5.84,8.31,2.73,6.25,4.49,2.94,2.52,4.21,3.82,8.8,5.47,7.48,6.97,9.38,3.44
175,SRPK1,36.71,15.91,1.000,2.31,0.43,34.98,37.23,33.5,23.66,37.13,47.84,42.6,12.38,19.26,30.28,8.54,25.36,61.88,38.22,10.16,9.21,9.74,5.4,6.76,8.31,11.01,5.98,2.46,14.19,12.48,5.27,8.39,2.74,12.29,17.84,14.56,11.77,39.32,31.5,9.23,16.73
181,SRSF1,107.52,43.11,1.000,2.49,0.40,93.05,89.23,98.74,81.68,109.75,175.44,104.75,26.52,52.8,50.78,26.42,152.78,179.04,118.32,25.64,37.47,22.92,18.98,36.45,29.63,28.45,16.69,18.39,14.06,44.25,18.56,20.09,13.42,26.13,47.02,54.18,35.26,36.11,17.77,40.86,41.2
181,SRSF2,156.48,58.02,1.000,2.70,0.37,79.45,180.09,111.93,175.25,129.26,320.14,99.23,43.78,83.31,69.16,110.74,192.58,197.49,143.64,28.45,70.98,34.1,36.63,35.95,37.55,19.86,21.32,29.08,9.64,50.95,29.61,31.22,24.07,52.53,68.98,61.85,43.14,39.14,34.77,50.4,31.77
181,TRA2A,62.76,31.78,1.000,1.97,0.51,58.19,48.93,53.8,42.76,101.93,83.53,50.18,30.76,60.99,38.26,33.89,48.23,80.43,45.2,18.31,43.87,22.74,21.82,26.1,29.56,26.4,13.05,12.99,9.21,38.53,10.68,8.7,7.9,22.54,56.88,43.57,44.64,41.01,21.96,30.14,33.24
181,U2AF1,178.67,84.06,1.000,2.13,0.47,185.42,163.69,249.29,215.76,221.92,121.27,93.31,68.05,103.45,54.65,63.95,188.12,289.5,143.36,69.04,132.24,62.43,53.43,74.7,48.86,92.09,21.74,57.56,37.43,58.49,66.23,26.32,38.17,68.95,61.38,111.77,68.92,86,115.66,120.11,55.22
181,RBM41,10.10,3.74,0.921,2.70,0.37,7.94,7.02,11.34,4.27,7.8,22.75,9.57,3.47,5.04,5.67,0.71,8.09,20.52,15.37,1.8,2.34,1.67,1.27,1.49,2.6,2.53,2.9,1.19,1.12,2.05,1.72,1.99,1.3,2.68,2.33,2.57,2.79,2.89,2.1,4.43,3.71
181,SNRPA1,100.85,35.23,0.524,2.86,0.35,178.66,95.4,82.15,63.44,120.55,87.39,78.35,21.62,112.81,41.19,15.67,110.98,110.36,86.37,18.45,69.9,19.3,16.68,20.25,13.3,17.44,12.55,11.55,7.9,22.7,17.21,17.82,10.41,26.57,24.94,25.03,20.89,44.75,42.59,48.46,13.95
183,SFRS7,121.60,49.88,1.000,2.44,0.41,166.61,158.3,107.61,90.13,105.62,149.13,73.78,24.49,114.91,72.07,39.51,149.01,158.2,90.38,22.73,51.96,27.8,25.25,31.55,25.8,39.61,9.82,17.5,13.6,34.69,14.85,21.36,16.02,35.81,79.4,91.31,59.67,47.68,49.28,53.93,28.47
183,KHDRBS2,3.38,0.49,0.398,6.87,0.15,6.56,4.54,3.32,4.42,3.32,0.2,1.32,0.01,0.01,0,0,0,0,0,0.04,0.49,3.01,4.85,0.52,0.04,0.02,0.02,0.01,0,0.13,0.43,0,0.01,1.81,0.2,0.02,0.14,0.04,0.27,1.65,0.55
186,SF3B3,57.25,25.23,1.000,2.27,0.44,48.38,63.84,61.74,63.01,75.29,34.82,53.68,18.97,47.42,21.59,20.01,74.96,88.36,53.95,18.76,24.59,14.85,14.48,24.13,12.89,17.15,11.63,11.83,25.69,15.07,12.43,7.2,6.48,15.92,24.44,34.74,20.06,19.14,18.3,26.06,30.71
186,SFRS18,78.19,21.26,0.941,3.68,0.27,111.67,51.5,48.72,23.21,81.58,194.68,35.96,23.35,75.43,11.65,5.31,33.94,45.11,27.88,9.75,33.68,15.8,16.41,30.74,19.26,11.74,7.76,13.96,5.91,19.73,12.22,5.03,7.65,13.11,36.92,36.65,17.07,15.83,16.54,37.13,10.88
186,RBPMS2,77.20,15.76,0.879,4.90,0.20,72.9,83.31,89.28,135.61,80.97,29.78,48.55,2.2,0.42,0,1.59,0.82,5.73,5.32,8.7,6.21,1.01,1.46,1.26,14.97,49.38,74.76,103.47,2.04,8.59,19.95,4.97,4.45,5.24,5.86,11.01,90.31,9.97,10.23,6.37,0.65
191,HNRNPC,352.91,137.37,1.000,2.57,0.39,384.9,280.31,253.75,169.54,761.9,244.2,375.74,108.77,239.38,180.44,93.49,275.76,374.58,249.25,95.68,179.29,127.71,52.51,61.7,96.73,172.59,37.05,36.72,56.63,113.1,59.61,52.55,42.69,164.19,200.05,218.34,148.93,148.59,74.29,140.8,182.25
191,HNRNPM,234.11,85.78,1.000,2.73,0.37,364.09,211.91,268.48,326.76,118.24,240.57,108.73,56.84,132.07,52.3,81.15,139.42,385.72,184.93,74.77,111.96,59.13,55.6,87.83,58.12,62.78,36.79,55.21,27.54,69.83,54.28,25.74,33.82,36.84,66.26,119.32,68.74,88.29,89,88.18,85.12
191,HNRNPU,371.51,138.52,1.000,2.68,0.37,447.92,287.83,371.39,252.89,371.56,723.25,145.73,107.85,208.9,80.84,29.13,223.67,463.6,359.07,137.51,149.44,122.94,76.29,95.65,116.59,145.36,57.55,56.61,99.58,122.67,61.79,39.56,28.09,83.71,129.41,232.06,122.79,187.3,126.29,181.63,171.24
191,PTBP2,31.08,8.78,1.000,3.54,0.28,11.95,25.4,23.85,11.01,41.15,74.1,30.08,5.68,2.71,2.76,2.03,12.27,17.57,9.95,5.39,11.85,23.17,9.88,7.47,8.62,15.99,3.85,1.62,5.57,8.22,1.41,1.36,1.01,5.57,8.69,8.86,26.14,25.12,8.66,10.34,2.87
191,RBM16,27.56,12.27,1.000,2.25,0.45,27.4,27.08,19.7,13.67,35.42,45.43,24.2,10.08,17.26,12.11,9.68,24.99,22.33,12.79,10.26,19.26,13.07,5.68,7.06,11.39,6.59,7.98,3.69,12.2,10.43,3.6,4.08,1.99,6.86,10.37,22.94,13.76,22.73,15.33,16.8,20.66
195,SF3A3,65.14,25.31,1.000,2.57,0.39,105.27,77.09,54,42.32,70.53,31.3,75.48,25.53,59,26.31,17.13,41.83,71.41,76.89,19.51,30.66,16.99,12.95,14.36,18.43,21.13,7.33,7.39,8.24,20.29,12.53,8.53,9.48,11.48,19.4,39.52,22.16,33.19,27.16,27.1,28.16
195,SFRS3,268.91,114.77,1.000,2.34,0.43,240.44,339.8,228.57,139.87,343.59,371.77,218.32,79.47,165.68,117.98,55.94,208.37,334.32,208.25,104.93,186.45,93.99,35.26,49.74,112.09,76.38,52.43,34.74,33.58,112.45,34.1,52.51,34.16,77.92,144.12,233.14,190.61,143.57,58.66,169.31,128.09
195,RBM25,123.24,27.16,0.727,4.54,0.22,131.15,65.46,66.75,30.39,89.82,428.02,51.07,40.94,62.33,14.91,4.65,53.4,79.76,47.46,18.36,40.61,32.26,17.33,21.13,25.26,20.17,11.84,10.89,16.17,19.95,12.02,5.77,8.74,23.95,20.62,32.12,22.4,36.82,29.24,38.29,20.34
195,SFRS13A,59.39,23.49,0.428,2.53,0.40,55.99,66.55,49.06,35.84,79.51,77.03,51.77,17.73,43.36,23.61,20.11,66.55,76.71,57.71,12.25,30.64,17.18,8.42,11.52,18.28,16.6,11.01,8.15,9.62,21.44,6.22,9.58,5.16,15.58,26,34.36,23.79,23.59,13.84,28.75,23.39
198,HNRNPAB,247.15,89.44,1.000,2.76,0.36,350.45,194.8,271.57,308.15,253.36,190.9,160.82,78.86,129.93,92.78,115.86,274.85,334.57,228.75,67.83,110.23,32.04,25.07,42.05,51.31,76.31,42.23,52.07,62.63,79.32,64.52,60.65,47.3,83.51,90.26,87.68,57.64,60.53,39.95,60.61,44.41
198,RBM26,33.93,15.34,1.000,2.21,0.45,33.33,24.47,33.2,17.88,35.24,63.96,29.42,11.68,22.33,10.62,5.72,15.38,63.55,31.17,9.95,23.38,14.97,9.26,15.19,13.27,16.11,5.39,4.83,5.59,11.81,4.13,3.78,2.84,8.1,22.83,23.61,16.36,24.36,17.42,13.83,17.43
198,SNRPG,345.56,89.54,1.000,3.86,0.26,650.84,121.71,296.38,103.89,264.45,728.43,253.19,77.55,196.12,117.29,46.65,355.27,205.15,161.47,43.97,93.31,37.42,22.74,34.17,62.97,76.62,48.6,52.32,48.61,72.42,68.45,61.93,38.47,91.56,93.84,81.07,57.78,129.86,50,103,68.05
199,SFPQ,202.23,71.63,0.625,2.82,0.35,291.15,129.56,231.84,172.06,205.09,246.48,139.43,61.48,136.59,51.68,46.65,145.4,270.69,209.02,44.27,83.47,45,37.38,51.51,54.51,33.56,25.15,31.69,40.85,71.43,29.32,15.6,22.03,24.33,72.66,118.97,58.89,100.72,54.94,78.13,61.46
202,RBM27,23.17,9.27,1.000,2.50,0.40,19.51,18.38,15.6,13.5,28.96,43.93,22.31,7.23,8.07,12.93,5.68,15.65,17.9,14.43,9.07,11.5,8.24,2.78,4.68,8.01,8.36,5.09,2.25,8.39,7.83,2.08,3.33,1.65,7.81,8.46,14.08,10.99,17.59,13.76,14.33,16.62
202,TIA1,34.78,12.40,1.000,2.81,0.36,18.86,41.81,29.35,18.79,52.91,33.05,48.72,16.22,10.54,13.22,14.46,35.69,17.85,13.04,6.57,12.2,9.67,7.88,8.49,11.64,11.34,7.33,3.65,3.47,19.79,4.09,5.33,3.7,12.18,26.55,21.24,22.68,11.4,4.05,11.43,13.92
202,SART3,41.75,16.05,0.186,2.60,0.38,71.91,32.1,43.06,42.09,32.11,45.64,25.33,10.92,55.31,7.92,3.79,26.82,38.4,25.7,10.99,15.61,13.85,16.49,27.8,7.96,9.07,5.6,8.88,8.03,11.46,11.12,3.89,5.03,10.37,19.39,19.1,14.78,18.3,21.94,19.17,17.83
203,SNRPD1,112.71,29.33,0.096,3.84,0.26,153.9,84.16,70.93,51.84,162.89,179.3,85.98,26.28,102.95,33.75,11.79,63.94,133.28,77.78,16.44,41.54,27.88,11.66,9.81,17.89,21.54,8.45,6.14,9.78,22.75,7.89,14.04,7.07,13.88,22.77,35.76,16.81,32.92,12.16,24.32,19.17
208,TRA2B,98.04,42.69,1.000,2.30,0.44,97.53,96.44,90.09,71.62,124.38,109.36,96.88,30.59,83.66,58.85,54.33,110.38,94.33,78.97,26.7,47.7,29.85,18.92,27.57,38.72,31.03,13.91,12.62,18.11,45.57,16.02,19.83,12.67,36.56,49.46,49.17,49.65,49.42,27.52,55.53,50.33
208,PRPF40A,44.07,13.80,0.306,3.19,0.31,44.9,37.77,27.37,18.4,50.97,83.84,45.21,17.69,21.96,20.84,8.31,29.81,39.77,23.12,12.2,16.7,11.25,3.41,3.65,9.95,11.63,6.89,2.63,10.93,13.84,3.28,6.65,2.89,11.26,13.06,17.29,12.96,19.11,8.61,18.39,22.03
208,ESRP1,54.77,7.85,0.150,6.97,0.14,54.56,64.63,18.23,36.74,75.04,72.41,61.77,1,0.03,56.23,0,109.47,0.01,0,0.19,0.01,0.08,0.12,0,3.7,8.56,0.03,0.01,0,8.67,2.14,0.22,0.09,9.76,0.29,2.26,8.37,2.75,0.4,13.27,0.11
208,SNRPF,75.47,23.93,0.111,3.15,0.32,131.69,42.2,81.74,66.62,90.36,75,40.7,24.54,35.22,19.3,7.78,38.41,101.06,63.81,20.35,43.21,15,9.69,11.69,17.48,20.92,7.43,9.89,5.05,17,13.57,19.87,14.16,16.93,24.11,31.3,17.72,28.17,13.71,27.2,19.32
208,MSI1,15.43,1.83,0.032,8.44,0.12,15.09,12.08,32.63,19.41,20.39,3.1,5.3,0.4,0.03,0.02,0.09,2.58,9.92,0.04,0.07,0.28,2.16,3.82,3.83,0.35,0.75,0.43,1.7,0,0.27,0.65,0.04,0.12,0.6,0.04,2.94,0.88,5.32,15.35,0.31,0
209,RBMX,305.94,76.21,1.000,4.01,0.25,254.17,226.48,187.29,168.83,658.65,210.03,436.13,57.56,152.05,53.22,31.55,205.07,256.07,188.61,54.89,90.68,66.87,31.95,35.81,44.97,73.12,38.67,30.65,101.34,46.94,35.56,27.68,19.05,58.17,51.81,95.45,103.6,52.98,46.84,86.69,72.32
214,HNRNPA2B1,760.50,242.67,1.000,3.13,0.32,746.97,465.48,828.53,367.41,748.22,1363.92,802.95,176.72,299.37,114.62,37.66,575.13,799.93,664.75,132.49,327.06,187.59,122.73,240.3,161.27,213.96,127.07,143.28,111.01,290.72,158.28,100.73,74.31,213.32,301.96,287.03,166.91,294.62,192.3,321.39,200.79
214,KHDRBS1,148.41,57.26,1.000,2.59,0.39,121.83,127.21,123.66,118.29,167.67,287.97,92.21,49.88,73.99,33.17,15.94,64.23,154.27,111.71,56.25,98.7,66,29.67,42.43,52.3,58,26.07,19.81,38.47,49.68,21.16,19.98,13.8,51.16,43.3,108.64,80.26,75.82,34.03,84.32,87.5
214,HNRNPD,304.12,78.10,0.869,3.89,0.26,336.68,150.44,323.49,197.21,292.07,696.74,132.22,49.39,135.19,19.92,21.64,90.84,262.52,163.72,107.27,131,80.02,45.44,63.44,69.66,77.78,27.55,48.46,32.53,58.11,56.62,27.04,22.24,59.53,61.03,155.38,81.63,90.91,47.3,102.02,76.6
214,FUBP1,146.83,35.83,0.120,4.10,0.24,131.42,98.77,109.99,82.86,115.99,379.12,109.65,32.19,65.63,55.78,48.01,90.06,104.19,126.74,17.78,28.47,15.56,17.05,30.46,15.41,19.67,14.18,15.94,17,24.98,14.84,7.19,4.65,34.97,38.97,35.2,23.79,25.38,23.6,54.95,36.42
214,RBM12B,19.39,4.77,0.044,4.07,0.25,10.86,13.23,15.72,9.08,14.51,57.6,14.71,3.64,4.77,2.85,1.48,13.49,14.15,12.73,3.39,4.66,3.16,2,2.15,2.84,3.91,1.9,1.78,2.18,5.47,1.25,1.09,0.89,2.8,5.62,8.51,4.28,7.72,3.95,7.9,7.65
218,HNRNPA1,1613.90,297.89,0.597,5.42,0.18,712.94,566.93,992.46,712.95,4157.4,2462.03,1692.62,176.95,408.75,131.16,108.56,415.32,582.5,357.09,354.5,597.62,371.2,95.43,213.32,287.78,413.43,150.59,129.69,266.05,220.05,103.68,76.34,55.86,284.04,267.08,1058.05,396.79,285.81,133.53,299.7,397.84
218,RBM12,49.56,15.15,0.265,3.27,0.31,33.76,48.44,44.24,29.46,37.69,110.25,43.07,11.62,22.81,20.72,19.03,27.02,47.28,25.32,15.03,20.43,13.19,5.96,9.73,11.04,9.72,7.97,4.8,6.11,11.88,4.62,4.65,2.53,10.74,12.99,30.6,12.6,15.37,10.55,20.84,24.29
218,SRRM1,94.08,27.71,0.076,3.40,0.29,116.9,66.28,72.31,47.97,107.61,180.5,67,22.7,49.6,20.2,11.47,59.77,72.21,58.29,24.16,34.94,24.04,21.86,20.38,27.47,14.47,11.19,9.85,14.23,20.36,10.8,10.46,6.19,29.65,28.39,38.6,24.6,36.27,34.88,35.07,31.38
218,SFRS15,35.42,11.20,0.044,3.16,0.32,30.3,33.67,38.89,27.83,52.25,46.4,18.58,9.95,19.34,4.41,7.15,14.24,35.2,8.63,9.5,14.31,8.58,8.43,12.77,7.33,8.37,4.6,6.25,7.9,7.36,6,4.44,5.28,9.08,14.69,13.08,10.03,17.32,26.55,8.66,15.35
219,CPSF6,44.03,13.94,0.071,3.16,0.32,47.06,43.89,43.28,27.75,40.23,66.58,39.41,11.11,35.63,13.44,21.95,35.75,43.16,27.26,8.03,14.35,13,8.39,13.07,10.02,8.76,4.16,5.37,7.11,13.03,4.61,3.47,3.61,7.04,18.2,18.89,12.47,14.85,8.28,7.89,11.48
220,AQR,28.50,8.58,0.082,3.32,0.30,24.61,34.66,21.59,18.14,29.7,41.91,28.89,7.59,12.52,16.72,9.73,21.93,13.84,15.87,8.75,9.53,4.6,3.18,4.01,7.35,5.5,4.02,2,3.63,7.82,3.02,3.39,1.3,5.23,7.86,11.53,10.44,13,7.82,10.43,16.23
221,PSIP1,323.15,35.26,0.041,9.17,0.11,347.17,242.22,144.97,87.95,345.39,875.05,219.3,25.5,139.84,4.24,4.13,30.39,63.27,69.67,18.82,40.08,79.27,27.46,24.94,19.96,44.5,11.45,5.83,10.96,20.34,6.56,4.48,3.01,24.04,37.37,84.17,45.38,72.54,30.68,32.43,41.09

